Security Code,status,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
533022,1,20 Microns Limited,20MICRONS,20 MICRONS LTD.,Active,B ,5,INE144J01027,Mining,Equity,Basic Materials,Metals & Mining,Mining,Mining
523395,1,3M India Ltd.,3MINDIA,3M INDIA LTD.,Active,A ,10,INE470A01017,Diversified,Equity,Diversified,Diversified,Diversified,Diversified
516092,1,3P LAND HOLDINGS LTD.,3PLAND,3P Land Holdings Ltd,Active,T ,2,INE105C01023,Investment Companies,Equity,Finance,Other Financial Services,Other Financial Services,Investment Companies
540776,1,5paisa Capital Limited,5PAISA,5paisa Capital Ltd,Active,B ,10,INE618L01018,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services
526881,1,63 Moons Technologies Limited,63MOONS,63 Moons Technologies Ltd,Active,T ,2,INE111B01023,IT Consulting & Software,Equity,Information Technology,Software & Services,IT Software & Services,IT Consulting & Application Software
533292,1,A2Z Infra Engineering Limited,A2ZINFRA,A2Z Infra Engineering Limited,Active,B ,10,INE619I01012,Construction & Engineering,Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
524348,1,Aarti Drugs Limited,AARTIDRUGS,AARTI DRUGS LTD.,Active,A ,10,INE767A01016,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals
524208,1,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5,INE769A01020,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals
543210,1,Aarti Surfactants Limited,AARTISURF,Aarti Surfactants Ltd,Active,B ,10,INE09EO01013,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals
514274,1,"Aarvee Denims & Exports Ltd.,",AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.,Active,B ,10,INE273D01019,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles
